"index","status","product","source","destination","reason"
"26","review","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 3.png","curated_upload/review/lamellar/026-Lamellar Water 200 ml | 3.png","Busy ice-and-herb styling; weaker fit with the premium core set."
"27","approved","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 4.png","curated_upload/approved/lamellar/027-Lamellar Water 200 ml | 4.png","Passed visual review: product identity, composition, and anatomy appear usable."
"28","approved","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 5.png","curated_upload/approved/lamellar/028-Lamellar Water 200 ml | 5.png","Passed visual review: product identity, composition, and anatomy appear usable."
"29","approved","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 6.png","curated_upload/approved/lamellar/029-Lamellar Water 200 ml | 6.png","Passed visual review: product identity, composition, and anatomy appear usable."
"30","approved","lamellar","AI/Ламилярная вода/Lamellar Water 200 ml | 7.png","curated_upload/approved/lamellar/030-Lamellar Water 200 ml | 7.png","Passed visual review: product identity, composition, and anatomy appear usable."
"31","approved","thermo","AI/Термозащита/Thermo Protector Spray 200 ml | 1.png","curated_upload/approved/thermo/031-Thermo Protector Spray 200 ml | 1.png","Passed visual review: product identity, composition, and anatomy appear usable."
"32","approved","thermo","AI/Термозащита/Thermo Protector Spray 200 ml | 2.png","curated_upload/approved/thermo/032-Thermo Protector Spray 200 ml | 2.png","Passed visual review: product identity, composition, and anatomy appear usable."
"33","approved","thermo","AI/Термозащита/Thermo Protector Spray 200 ml | 3.png","curated_upload/approved/thermo/033-Thermo Protector Spray 200 ml | 3.png","Passed visual review: product identity, composition, and anatomy appear usable."
"34","approved","thermo","AI/Термозащита/Thermo Protector Spray 200 ml | 4.png","curated_upload/approved/thermo/034-Thermo Protector Spray 200 ml | 4.png","Passed visual review: product identity, composition, and anatomy appear usable."
"35","approved","thermo","AI/Термозащита/Thermo Protector Spray 200 ml | 5.png","curated_upload/approved/thermo/035-Thermo Protector Spray 200 ml | 5.png","Passed visual review: product identity, composition, and anatomy appear usable."
"36","approved","thermo","AI/Термозащита/Thermo Protector Spray 200 ml | 6.png","curated_upload/approved/thermo/036-Thermo Protector Spray 200 ml | 6.png","Passed visual review: product identity, composition, and anatomy appear usable."
"37","approved","cream-spray","generated_images/01-cream-spray-200ml-turquoise-studio-hero.png","curated_upload/approved/cream-spray/037-01-cream-spray-200ml-turquoise-studio-hero.png","Passed visual review: product identity, composition, and anatomy appear usable."
"38","approved","thermo","generated_images/02-thermo-200ml-pastel-pink-editorial.png","curated_upload/approved/thermo/038-02-thermo-200ml-pastel-pink-editorial.png","Passed visual review: product identity, composition, and anatomy appear usable."
"39","approved","thermo","generated_images/03-thermo-200ml-sage-botanical.png","curated_upload/approved/thermo/039-03-thermo-200ml-sage-botanical.png","Passed visual review: product identity, composition, and anatomy appear usable."
"40","approved","cream-spray","generated_images/04-cream-spray-200ml-wet-dewy.png","curated_upload/approved/cream-spray/040-04-cream-spray-200ml-wet-dewy.png","Passed visual review: product identity, composition, and anatomy appear usable."
"41","approved","cream-spray","generated_images/06-cream-spray-200ml-hand-holding.png","curated_upload/approved/cream-spray/041-06-cream-spray-200ml-hand-holding.png","Passed visual review: product identity, composition, and anatomy appear usable."
"42","approved","cream-spray","generated_images/07-cream-spray-200ml-italian-morning-windowsill.png","curated_upload/approved/cream-spray/042-07-cream-spray-200ml-italian-morning-windowsill.png","Passed visual review: product identity, composition, and anatomy appear usable."
"43","approved","cream-spray","generated_images/08-cream-spray-200ml-clinical-white-cornerstone.png","curated_upload/approved/cream-spray/043-08-cream-spray-200ml-clinical-white-cornerstone.png","Passed visual review: product identity, composition, and anatomy appear usable."
"44","review","cream-spray","generated_images/09-cream-spray-200ml-spray-mist-macro-hero.png","curated_upload/review/cream-spray/044-09-cream-spray-200ml-spray-mist-macro-hero.png","Spray-action image needs a final nozzle/mist realism check."
"45","approved","cream-spray","generated_images/A01-cream-spray-woman-soft-hair.png","curated_upload/approved/cream-spray/045-A01-cream-spray-woman-soft-hair.png","Passed visual review: product identity, composition, and anatomy appear usable."
"46","approved","cream-spray","generated_images/A02-cream-spray-held-tenderly-at-chest.png","curated_upload/approved/cream-spray/046-A02-cream-spray-held-tenderly-at-chest.png","Passed visual review: product identity, composition, and anatomy appear usable."
"47","approved","cream-spray","generated_images/A03-cream-spray-morning-mirror-ritual.png","curated_upload/approved/cream-spray/047-A03-cream-spray-morning-mirror-ritual.png","Passed visual review: product identity, composition, and anatomy appear usable."
"48","approved","thermo","generated_images/B01-thermo-woman-preparing-hair.png","curated_upload/approved/thermo/048-B01-thermo-woman-preparing-hair.png","Passed visual review: product identity, composition, and anatomy appear usable."
"49","approved","thermo","generated_images/B02-thermo-tender-shoulder-portrait.png","curated_upload/approved/thermo/049-B02-thermo-tender-shoulder-portrait.png","Passed visual review: product identity, composition, and anatomy appear usable."
"50","approved","thermo","generated_images/B03-thermo-tender-vanity-touch.png","curated_upload/approved/thermo/050-B03-thermo-tender-vanity-touch.png","Passed visual review: product identity, composition, and anatomy appear usable."
"51","approved","cream-spray","generated_images/C01-cream-spray-bare-shoulder-towel.png","curated_upload/approved/cream-spray/051-C01-cream-spray-bare-shoulder-towel.png","Passed visual review: product identity, composition, and anatomy appear usable."
"52","approved","cream-spray","generated_images/C02-cream-spray-bare-collarbone-linen.png","curated_upload/approved/cream-spray/052-C02-cream-spray-bare-collarbone-linen.png","Passed visual review: product identity, composition, and anatomy appear usable."
"53","approved","cream-spray","generated_images/C03-cream-spray-post-shower-bare-back.png","curated_upload/approved/cream-spray/053-C03-cream-spray-post-shower-bare-back.png","Passed visual review: product identity, composition, and anatomy appear usable."
"54","approved","thermo","generated_images/D01-thermo-bare-back-hair.png","curated_upload/approved/thermo/054-D01-thermo-bare-back-hair.png","Passed visual review: product identity, composition, and anatomy appear usable."
"55","approved","thermo","generated_images/D02-thermo-bare-collarbone-pink-linen.png","curated_upload/approved/thermo/055-D02-thermo-bare-collarbone-pink-linen.png","Passed visual review: product identity, composition, and anatomy appear usable."
"56","approved","thermo","generated_images/D03-thermo-post-shower-towel.png","curated_upload/approved/thermo/056-D03-thermo-post-shower-towel.png","Passed visual review: product identity, composition, and anatomy appear usable."
"57","approved","multi-product","generated_images/E01-complete-line-stone-plinths.png","curated_upload/approved/multi-product/057-E01-complete-line-stone-plinths.png","Passed visual review: product identity, composition, and anatomy appear usable."
"58","approved","multi-product","generated_images/E02-complete-line-bathroom-horizontal.png","curated_upload/approved/multi-product/058-E02-complete-line-bathroom-horizontal.png","Passed visual review: product identity, composition, and anatomy appear usable."
"59","approved","multi-product","generated_images/E03-complete-line-three-materials-flatlay.png","curated_upload/approved/multi-product/059-E03-complete-line-three-materials-flatlay.png","Passed visual review: product identity, composition, and anatomy appear usable."
"60","approved","thermo","generated_images/E04-woman-choosing-thermo-from-line.png","curated_upload/approved/thermo/060-E04-woman-choosing-thermo-from-line.png","Passed visual review: product identity, composition, and anatomy appear usable."
"61","approved","multi-product","generated_images/E05-core-duo-color-gradient.png","curated_upload/approved/multi-product/061-E05-core-duo-color-gradient.png","Passed visual review: product identity, composition, and anatomy appear usable."
"62","approved","multi-product","generated_images/E06-core-duo-horizontal-water-light.png","curated_upload/approved/multi-product/062-E06-core-duo-horizontal-water-light.png","Passed visual review: product identity, composition, and anatomy appear usable."
"63","approved","multi-product","generated_images/F01-duo-pre-styling-vanity.png","curated_upload/approved/multi-product/063-F01-duo-pre-styling-vanity.png","Passed visual review: product identity, composition, and anatomy appear usable."
"64","approved","multi-product","generated_images/F02-duo-routine-handoff.png","curated_upload/approved/multi-product/064-F02-duo-routine-handoff.png","Passed visual review: product identity, composition, and anatomy appear usable."
"65","approved","multi-product","generated_images/F03-duo-silk-stone-comb.png","curated_upload/approved/multi-product/065-F03-duo-silk-stone-comb.png","Passed visual review: product identity, composition, and anatomy appear usable."
"66","approved","multi-product","generated_images/F04-duo-weekend-travel-bag.png","curated_upload/approved/multi-product/066-F04-duo-weekend-travel-bag.png","Passed visual review: product identity, composition, and anatomy appear usable."
"67","approved","multi-product","generated_images/F05-duo-pre-blowdry-trolley.png","curated_upload/approved/multi-product/067-F05-duo-pre-blowdry-trolley.png","Passed visual review: product identity, composition, and anatomy appear usable."
"68","review","multi-product","generated_images/F06-duo-mirror-reflection.png","curated_upload/review/multi-product/068-F06-duo-mirror-reflection.png","Mirror creates additional bottle reflections; confirm before publishing."
"69","approved","cream-spray","generated_images/G01-cream-spray-real-application.png","curated_upload/approved/cream-spray/069-G01-cream-spray-real-application.png","Passed visual review: product identity, composition, and anatomy appear usable."
"70","approved","cream-spray","generated_images/G02-cream-spray-caring-for-ends.png","curated_upload/approved/cream-spray/070-G02-cream-spray-caring-for-ends.png","Passed visual review: product identity, composition, and anatomy appear usable."
"71","approved","cream-spray","generated_images/G03-cream-spray-evening-ritual.png","curated_upload/approved/cream-spray/071-G03-cream-spray-evening-ritual.png","Passed visual review: product identity, composition, and anatomy appear usable."
"72","approved","cream-spray","generated_images/G04-cream-spray-mediterranean-terrace.png","curated_upload/approved/cream-spray/072-G04-cream-spray-mediterranean-terrace.png","Passed visual review: product identity, composition, and anatomy appear usable."
"73","approved","cream-spray","generated_images/G05-cream-spray-pump-macro.png","curated_upload/approved/cream-spray/073-G05-cream-spray-pump-macro.png","Passed visual review: product identity, composition, and anatomy appear usable."
"74","approved","thermo","generated_images/H01-thermo-before-blowdry.png","curated_upload/approved/thermo/074-H01-thermo-before-blowdry.png","Passed visual review: product identity, composition, and anatomy appear usable."
"75","approved","thermo","generated_images/H02-thermo-styling-tools.png","curated_upload/approved/thermo/075-H02-thermo-styling-tools.png","Passed visual review: product identity, composition, and anatomy appear usable."
"76","approved","thermo","generated_images/H03-thermo-long-hair-back-view.png","curated_upload/approved/thermo/076-H03-thermo-long-hair-back-view.png","Passed visual review: product identity, composition, and anatomy appear usable."
"77","approved","thermo","generated_images/H04-thermo-after-movement.png","curated_upload/approved/thermo/077-H04-thermo-after-movement.png","Passed visual review: product identity, composition, and anatomy appear usable."
"78","approved","thermo","generated_images/H05-thermo-warm-bathroom-pause.png","curated_upload/approved/thermo/078-H05-thermo-warm-bathroom-pause.png","Passed visual review: product identity, composition, and anatomy appear usable."
"79","approved","thermo","generated_images/H06-thermo-dark-heat-editorial.png","curated_upload/approved/thermo/079-H06-thermo-dark-heat-editorial.png","Passed visual review: product identity, composition, and anatomy appear usable."
"80","approved","lamellar","generated_images/L01-lamellar-wet-hair-ritual.png","curated_upload/approved/lamellar/080-L01-lamellar-wet-hair-ritual.png","Passed visual review: product identity, composition, and anatomy appear usable."
"81","approved","lamellar","generated_images/L02-lamellar-shower-reach.png","curated_upload/approved/lamellar/081-L02-lamellar-shower-reach.png","Passed visual review: product identity, composition, and anatomy appear usable."
"82","approved","lamellar","generated_images/L03-lamellar-liquid-water-hero.png","curated_upload/approved/lamellar/082-L03-lamellar-liquid-water-hero.png","Passed visual review: product identity, composition, and anatomy appear usable."
